Date,Open,High,Low,Close,Adj Close,Volume
2008-12-01,12.940000,14.430000,12.940000,13.930000,10.080095,0
2009-01-01,14.370000,14.420000,12.440000,12.760000,9.519933,0
2009-02-01,12.750000,13.450000,11.400000,11.400000,8.505269,0
2009-03-01,10.870000,12.940000,10.500000,12.400000,9.251343,0
2009-04-01,12.610000,13.590000,12.610000,13.580000,10.131717,0
2009-05-01,13.650000,14.460000,13.650000,14.330000,10.691271,0
2009-06-01,14.700000,14.770000,13.950000,14.360000,10.713654,0
2009-07-01,14.430000,15.450000,13.750000,15.450000,11.526877,0
2009-08-01,15.680000,16.160000,15.350000,16.000000,11.937219,0
2009-09-01,15.650000,16.809999,15.600000,16.590000,12.377404,0
2009-10-01,16.160000,17.240000,16.090000,16.280001,12.146121,0
2009-11-01,16.379999,17.490000,16.379999,17.260000,12.877275,0
2009-12-01,17.459999,17.530001,17.030001,17.340000,12.936958,0
2010-01-01,17.620001,17.900000,16.719999,16.719999,12.653167,0
2010-02-01,16.959999,17.309999,16.469999,17.240000,13.046684,0
2010-03-01,17.410000,18.340000,17.410000,18.280001,13.833724,0
2010-04-01,18.410000,19.030001,18.410000,18.559999,14.045618,0
2010-05-01,18.799999,18.799999,16.740000,17.080000,12.925602,0
2010-06-01,16.790001,17.540001,16.190001,16.190001,12.252080,0
2010-07-01,16.139999,17.530001,16.070000,17.320000,13.107224,0
2010-08-01,17.700001,17.740000,16.500000,16.540001,12.516947,0
2010-09-01,17.030001,18.120001,17.030001,18.010000,13.629397,0
2010-10-01,18.090000,18.730000,17.950001,18.700001,14.151567,0
2010-11-01,18.709999,19.370001,18.639999,18.690001,14.143998,0
2010-12-01,19.100000,19.600000,19.100000,19.570000,14.809953,0
2011-01-01,19.790001,20.240000,19.770000,20.030001,15.442300,0
2011-02-01,20.360001,20.950001,20.309999,20.709999,15.966551,0
2011-03-01,20.389999,20.780001,19.639999,20.719999,15.974263,0
2011-04-01,20.820000,21.330000,20.420000,21.330000,16.444548,0
2011-05-01,21.299999,21.299999,20.629999,21.090000,16.259516,0
2011-06-01,20.620001,20.740000,19.860001,20.740000,15.989685,0
2011-07-01,21.040001,21.260000,20.320000,20.320000,15.665877,0
2011-08-01,20.230000,20.230000,17.620001,19.219999,14.817823,0
2011-09-01,18.990000,19.190001,17.830000,17.879999,13.784742,0
2011-10-01,17.370001,20.320000,17.370001,19.820000,15.280399,0
2011-11-01,19.270000,20.200001,18.370001,19.770000,15.241853,0
2011-12-01,19.740000,20.010000,18.750000,19.570000,15.087657,0
2012-01-01,19.870001,20.650000,19.870001,20.440001,16.077374,0
2012-02-01,20.629999,21.420000,20.629999,21.330000,16.777414,0
2012-03-01,21.459999,22.139999,20.980000,22.020000,17.320143,0
2012-04-01,22.190001,22.190001,21.260000,21.889999,17.217890,0
2012-05-01,22.010000,22.010000,20.320000,20.570000,16.179626,0
2012-06-01,20.070000,21.340000,20.070000,20.900000,16.439188,0
2012-07-01,21.480000,21.820000,21.010000,21.719999,17.084169,0
2012-08-01,21.660000,22.370001,21.500000,22.209999,17.469589,0
2012-09-01,22.180000,23.160000,22.160000,22.770000,17.910065,0
2012-10-01,22.840000,23.120001,22.299999,22.350000,17.579706,0
2012-11-01,22.350000,22.620001,21.469999,22.480000,17.681961,0
2012-12-01,22.379999,22.700001,21.820000,22.190001,17.453857,0
2013-01-01,22.760000,23.480000,22.680000,23.340000,18.764275,0
2013-02-01,23.570000,23.889999,23.230000,23.650000,19.013500,0
2013-03-01,23.709999,24.540001,23.709999,24.540001,19.729019,0
2013-04-01,24.430000,25.010000,24.129999,25.010000,20.106878,0
2013-05-01,24.780001,26.170000,24.780001,25.590000,20.573172,0
2013-06-01,25.740000,25.940001,24.709999,25.240000,20.291790,0
2013-07-01,25.379999,26.670000,25.370001,26.520000,21.320848,0
2013-08-01,26.860001,26.900000,25.709999,25.750000,20.701805,0
2013-09-01,25.860001,27.240000,25.860001,26.559999,21.353004,0
2013-10-01,26.770000,28.010000,26.160000,27.780001,22.333830,0
2013-11-01,27.860001,28.639999,27.650000,28.620001,23.009150,0
2013-12-01,28.540001,28.850000,27.690001,28.850000,23.194063,0
2014-01-01,28.600000,28.860001,27.719999,27.850000,22.777657,0
2014-02-01,27.209999,29.120001,27.209999,29.120001,23.816351,0
2014-03-01,28.910000,29.430000,28.910000,29.360001,24.012638,0
2014-04-01,29.570000,29.660000,28.500000,29.570000,24.184393,0
2014-05-01,29.570000,30.270000,29.330000,30.270000,24.756899,0
2014-06-01,30.290001,30.920000,30.280001,30.889999,25.263977,0
2014-07-01,31.100000,31.350000,30.459999,30.459999,24.912292,0
2014-08-01,30.370001,31.670000,30.150000,31.670000,25.901917,0
2014-09-01,31.660000,31.830000,31.120001,31.230000,25.542055,0
2014-10-01,30.820000,31.990000,29.510000,31.990000,26.163637,0
2014-11-01,31.980000,32.919998,31.889999,32.840000,26.858826,0
2014-12-01,32.619999,32.980000,30.790001,32.160000,26.302675,0
2015-01-01,32.150002,32.250000,31.139999,31.190001,25.984852,0
2015-02-01,31.590000,33.139999,31.590000,32.980000,27.476128,0
2015-03-01,33.180000,33.180000,31.990000,32.450001,27.034580,0
2015-04-01,32.330002,33.259998,32.330002,32.759998,27.292843,0
2015-05-01,33.119999,33.540001,32.689999,33.180000,27.642750,0
2015-06-01,33.250000,33.490002,32.450001,32.540001,27.109560,0
2015-07-01,32.770000,33.590000,32.299999,33.209999,27.667746,0
2015-08-01,33.119999,33.240002,29.549999,31.209999,26.001518,0
2015-09-01,30.290001,31.610001,29.830000,30.440001,25.360018,0
2015-10-01,30.500000,33.169998,30.500000,33.000000,27.492792,0
2015-11-01,33.389999,33.480000,32.150002,33.090000,27.567770,0
2015-12-01,33.450001,33.450001,31.190001,31.559999,26.293106,0
2016-01-01,31.080000,31.139999,28.740000,29.990000,25.794317,0
2016-02-01,29.980000,30.240000,28.309999,29.950001,25.759914,0
2016-03-01,30.660000,32.040001,30.660000,31.969999,27.497307,0
2016-04-01,32.180000,32.669998,31.719999,32.090000,27.600519,0
2016-05-01,32.340000,32.700001,31.760000,32.669998,28.099375,0
2016-06-01,32.709999,33.029999,31.200001,32.750000,28.168186,0
2016-07-01,32.820000,33.970001,32.590000,33.950001,29.200302,0
2016-08-01,33.910000,34.259998,33.689999,34.000000,29.243305,0
2016-09-01,34.000000,34.250000,33.320000,34.000000,29.243305,0
2016-10-01,33.889999,33.950001,33.369999,33.380001,28.710045,0
2016-11-01,33.150002,34.820000,32.750000,34.610001,29.767962,0
2016-12-01,34.490002,35.779999,34.419998,34.419998,29.604544,0
2017-01-01,34.709999,35.369999,34.709999,35.070000,30.927002,0
2017-02-01,35.090000,36.549999,35.090000,36.459999,32.152798,0
2017-03-01,36.970001,36.970001,36.169998,36.500000,32.188065,0
2017-04-01,36.450001,36.950001,36.009998,36.880001,32.523178,0
2017-05-01,36.939999,37.439999,36.520000,37.389999,32.972931,0
2017-06-01,37.680000,38.080002,37.549999,37.630001,33.184578,0
2017-07-01,37.720001,38.509998,37.439999,38.400002,33.863613,0
2017-08-01,38.490002,38.580002,37.770000,38.520000,33.969437,0
2017-09-01,38.599998,39.310001,38.310001,39.310001,34.666115,0
2017-10-01,39.459999,40.320000,39.459999,40.230000,35.477428,0
2017-11-01,40.290001,41.459999,40.119999,41.459999,36.562119,0
2017-12-01,41.380001,41.930000,41.180000,41.189999,36.324013,0
2018-01-01,41.529999,44.290001,41.529999,43.540001,39.082420,0
2018-02-01,43.520000,43.520000,39.820000,41.939999,37.646221,0
2018-03-01,41.389999,43.090000,40.049999,40.869999,36.685764,0
2018-04-01,39.959999,41.959999,39.959999,41.029999,36.829388,0
2018-05-01,41.130001,42.430000,40.750000,42.020000,37.718033,0
2018-06-01,42.480000,43.299999,41.970001,42.270000,37.942444,0
2018-07-01,42.400002,44.299999,42.189999,43.840000,39.351704,0
2018-08-01,43.799999,45.450001,43.799999,45.270000,40.635300,0
2018-09-01,45.200001,45.770000,44.830002,45.529999,40.868683,0
2018-10-01,45.689999,45.709999,41.310001,42.410000,38.068104,0
2018-11-01,42.860001,44.020000,41.250000,43.279999,38.849037,0
2018-12-01,43.750000,43.750000,35.959999,38.310001,34.387859,0
2019-01-01,38.360001,41.369999,37.419998,41.369999,38.140621,0
2019-02-01,41.419998,42.860001,41.419998,42.700001,39.366802,0
2019-03-01,43.000000,43.830002,42.090000,43.529999,40.132011,0
2019-04-01,44.040001,45.299999,44.040001,45.299999,41.763847,0
2019-05-01,44.959999,45.299999,42.419998,42.419998,39.108658,0
2019-06-01,42.299999,45.590000,42.299999,45.400002,41.856041,0
2019-07-01,45.750000,46.750000,45.750000,46.060001,42.464520,0
2019-08-01,45.650002,45.650002,43.950001,45.330002,41.791504,0
2019-09-01,45.020000,46.650002,45.020000,46.169998,42.565929,0
2019-10-01,45.610001,47.310001,44.790001,47.169998,43.487873,0
2019-11-01,47.630001,49.070000,47.630001,48.880001,45.064392,0
2019-12-01,48.459999,49.939999,48.139999,49.389999,45.534576,0
2020-01-01,49.810001,50.939999,49.369999,49.369999,46.410141,0
2020-02-01,49.730000,51.900002,45.310001,45.310001,42.593548,0
2020-03-01,47.389999,48.009998,34.360001,39.709999,37.329285,0
2020-04-01,37.959999,45.220001,37.959999,44.799999,42.114124,0
2020-05-01,43.549999,46.930000,43.419998,46.930000,44.116425,0
2020-06-01,47.110001,49.860001,46.310001,47.869999,45.000069,0
2020-07-01,48.110001,50.630001,48.110001,50.570000,47.538197,0
2020-08-01,50.930000,54.310001,50.930000,54.200001,50.950573,0
2020-09-01,54.610001,55.450001,50.169998,52.139999,49.014069,0
2020-10-01,52.419998,54.830002,50.750000,50.750000,47.707409,0
2020-11-01,51.380001,56.560001,51.380001,56.310001,52.934074,0
2020-12-01,56.939999,57.919998,56.349998,57.419998,53.977520,0
2021-01-01,56.570000,58.980000,56.570000,56.840000,54.409256,0
2021-02-01,57.750000,60.259998,57.750000,58.410000,55.912117,0
2021-03-01,59.799999,60.970001,57.770000,60.959999,58.353065,0
2021-04-01,61.680000,64.669998,61.680000,64.209999,61.464077,0
2021-05-01,64.389999,65.019997,62.430000,64.660004,61.894836,0
2021-06-01,64.629997,66.169998,64.129997,66.169998,63.340260,0
2021-07-01,66.519997,68.139999,65.610001,67.739998,64.843124,0
2021-08-01,67.610001,69.879997,67.610001,69.800003,66.815033,0
2021-09-01,69.820000,70.029999,66.550003,66.550003,63.704014,0
2021-10-01,67.309998,71.209999,66.440002,71.209999,68.164726,0
2021-11-01,71.339996,72.820000,70.709999,70.709999,67.686119,0
2021-12-01,69.879997,73.349998,69.879997,72.940002,69.820755,0
2022-01-01,73.410004,73.410004,66.260002,69.169998,67.069115,0
2022-02-01,69.639999,70.300003,64.800003,67.099998,65.061981,0
2022-03-01,66.059998,71.129997,64.000000,69.589996,67.476357,0
2022-04-01,69.820000,70.389999,63.520000,63.520000,61.590721,0
2022-05-01,63.880001,66.110001,60.040001,63.630001,61.697384,0
2022-06-01,63.160000,64.339996,56.529999,58.380001,56.606838,0
2022-07-01,59.000000,63.759998,58.490002,63.759998,61.823429,0
2022-08-01,63.580002,66.519997,61.160000,61.160000,59.302402,0
2022-09-01,61.349998,63.599998,55.529999,55.529999,53.843399,0
2022-10-01,56.959999,60.470001,55.419998,60.020000,58.197025,0
2022-11-01,59.770000,63.369999,57.669998,63.369999,61.445278,0
2022-12-01,63.330002,63.330002,57.889999,58.759998,56.975292,0
2023-01-01,58.529999,62.450001,58.290001,62.450001,61.533318,0
2023-02-01,63.099998,64.029999,60.910000,60.919998,60.025776,0
2023-03-01,60.639999,63.160000,59.189999,63.160000,62.232895,0
2023-04-01,63.389999,64.139999,62.389999,64.139999,63.198509,0
2023-05-01,64.120003,64.800003,62.490002,64.419998,63.474400,0
2023-06-01,65.070000,68.669998,65.070000,68.669998,67.662018,0
2023-07-01,68.760002,70.879997,67.910004,70.879997,69.839577,0
2023-08-01,70.690002,70.690002,67.570000,69.750000,68.726166,0
2023-09-01,69.879997,69.879997,66.190002,66.419998,65.445045,0
2023-10-01,66.430000,67.830002,63.830002,65.029999,64.075447,0
2023-11-01,65.709999,70.959999,65.709999,70.959999,69.918404,0
2023-12-01,71.379997,73.300003,70.510002,73.099998,72.026985,0
2024-01-01,72.690002,75.580002,71.870003,74.320000,74.320000,0
2024-02-01,75.260002,78.290001,75.260002,78.290001,78.290001,0
2024-03-01,78.919998,80.809998,78.029999,80.809998,80.809998,0
2024-04-01,80.639999,80.639999,76.440002,77.500000,77.500000,0
2024-05-01,77.239998,82.000000,77.239998,82.000000,82.000000,0
